"sac_train/steps","gentle-surf-19 - _step","gentle-surf-19 - _step__MIN","gentle-surf-19 - _step__MAX","gentle-surf-19 - sac_train/episode_return","gentle-surf-19 - sac_train/episode_return__MIN","gentle-surf-19 - sac_train/episode_return__MAX","vivid-river-17 - _step","vivid-river-17 - _step__MIN","vivid-river-17 - _step__MAX","vivid-river-17 - sac_train/episode_return","vivid-river-17 - sac_train/episode_return__MIN","vivid-river-17 - sac_train/episode_return__MAX","likely-lion-15 - _step","likely-lion-15 - _step__MIN","likely-lion-15 - _step__MAX","likely-lion-15 - sac_train/episode_return","likely-lion-15 - sac_train/episode_return__MIN","likely-lion-15 - sac_train/episode_return__MAX","gentle-rain-13 - _step","gentle-rain-13 - _step__MIN","gentle-rain-13 - _step__MAX","gentle-rain-13 - sac_train/episode_return","gentle-rain-13 - sac_train/episode_return__MIN","gentle-rain-13 - sac_train/episode_return__MAX","clean-bee-10 - _step","clean-bee-10 - _step__MIN","clean-bee-10 - _step__MAX","clean-bee-10 - sac_train/episode_return","clean-bee-10 - sac_train/episode_return__MIN","clean-bee-10 - sac_train/episode_return__MAX"
"2200","229","229","229","-1256.4176465207624","-1256.4176465207624","-1256.4176465207624","229","229","229","-1530.4194471689318","-1530.4194471689318","-1530.4194471689318","229","229","229","-1130.4346933197014","-1130.4346933197014","-1130.4346933197014","229","229","229","-1495.9461324083231","-1495.9461324083231","-1495.9461324083231","229","229","229","-1263.1650038519342","-1263.1650038519342","-1263.1650038519342"
"2400","250","250","250","-1224.1889556879105","-1224.1889556879105","-1224.1889556879105","250","250","250","-1036.5926719108547","-1036.5926719108547","-1036.5926719108547","250","250","250","-1103.5525474003844","-1103.5525474003844","-1103.5525474003844","250","250","250","-1068.4957047879634","-1068.4957047879634","-1068.4957047879634","250","250","250","-1119.9817351733986","-1119.9817351733986","-1119.9817351733986"
"2600","271","271","271","-1031.276660129712","-1031.276660129712","-1031.276660129712","271","271","271","-1243.9942848492794","-1243.9942848492794","-1243.9942848492794","271","271","271","-1081.6120214219836","-1081.6120214219836","-1081.6120214219836","271","271","271","-1086.2272619406906","-1086.2272619406906","-1086.2272619406906","271","271","271","-1091.9339030515282","-1091.9339030515282","-1091.9339030515282"
"2800","292","292","292","-1044.3062607278896","-1044.3062607278896","-1044.3062607278896","292","292","292","-832.1056984845097","-832.1056984845097","-832.1056984845097","292","292","292","-895.2060914709967","-895.2060914709967","-895.2060914709967","292","292","292","-1139.3482555311446","-1139.3482555311446","-1139.3482555311446","292","292","292","-1041.792437603477","-1041.792437603477","-1041.792437603477"
"3000","313","313","313","-906.0352405142266","-906.0352405142266","-906.0352405142266","313","313","313","-799.4671953906546","-799.4671953906546","-799.4671953906546","313","313","313","-1036.279270362206","-1036.279270362206","-1036.279270362206","313","313","313","-871.7939933972581","-871.7939933972581","-871.7939933972581","313","313","313","-1063.3007455120332","-1063.3007455120332","-1063.3007455120332"
"3200","334","334","334","-767.2490456491555","-767.2490456491555","-767.2490456491555","334","334","334","-786.5947649936293","-786.5947649936293","-786.5947649936293","334","334","334","-1521.0530970377097","-1521.0530970377097","-1521.0530970377097","334","334","334","-1510.8061483597362","-1510.8061483597362","-1510.8061483597362","334","334","334","-890.6170445647065","-890.6170445647065","-890.6170445647065"
"3400","355","355","355","-739.5337196230762","-739.5337196230762","-739.5337196230762","355","355","355","-459.7708645409263","-459.7708645409263","-459.7708645409263","355","355","355","-1161.3881096722641","-1161.3881096722641","-1161.3881096722641","355","355","355","-638.2052980845108","-638.2052980845108","-638.2052980845108","355","355","355","-888.4102759776173","-888.4102759776173","-888.4102759776173"
"3600","376","376","376","-768.8333522815915","-768.8333522815915","-768.8333522815915","376","376","376","-525.3553913928238","-525.3553913928238","-525.3553913928238","376","376","376","-1253.1013596289827","-1253.1013596289827","-1253.1013596289827","376","376","376","-1278.2135859610332","-1278.2135859610332","-1278.2135859610332","376","376","376","-649.282571564862","-649.282571564862","-649.282571564862"
"3800","397","397","397","-409.54136343391787","-409.54136343391787","-409.54136343391787","397","397","397","-534.2992663398686","-534.2992663398686","-534.2992663398686","397","397","397","-1420.1303715876104","-1420.1303715876104","-1420.1303715876104","397","397","397","-863.4966313364504","-863.4966313364504","-863.4966313364504","397","397","397","-780.7343606383037","-780.7343606383037","-780.7343606383037"
"4000","418","418","418","-381.7886966339959","-381.7886966339959","-381.7886966339959","418","418","418","-265.852727640068","-265.852727640068","-265.852727640068","418","418","418","-1454.1811582710588","-1454.1811582710588","-1454.1811582710588","418","418","418","-1132.8972525572592","-1132.8972525572592","-1132.8972525572592","418","418","418","-570.3338645072234","-570.3338645072234","-570.3338645072234"
"4200","439","439","439","-496.0689156483668","-496.0689156483668","-496.0689156483668","439","439","439","-257.617344905844","-257.617344905844","-257.617344905844","439","439","439","-1047.9922926761162","-1047.9922926761162","-1047.9922926761162","439","439","439","-612.9344366933454","-612.9344366933454","-612.9344366933454","439","439","439","-1102.8115145516708","-1102.8115145516708","-1102.8115145516708"
"4400","460","460","460","-363.9724413500247","-363.9724413500247","-363.9724413500247","460","460","460","-249.92507199670425","-249.92507199670425","-249.92507199670425","460","460","460","-1046.6037658672813","-1046.6037658672813","-1046.6037658672813","460","460","460","-623.5486933573761","-623.5486933573761","-623.5486933573761","460","460","460","-1101.818787482493","-1101.818787482493","-1101.818787482493"
"4600","481","481","481","-493.85937172546033","-493.85937172546033","-493.85937172546033","481","481","481","-126.85294069239258","-126.85294069239258","-126.85294069239258","481","481","481","-1240.5880378753336","-1240.5880378753336","-1240.5880378753336","481","481","481","-516.1486864551958","-516.1486864551958","-516.1486864551958","481","481","481","-524.4151977305947","-524.4151977305947","-524.4151977305947"
"4800","502","502","502","-1222.749127673008","-1222.749127673008","-1222.749127673008","502","502","502","-122.92449470799339","-122.92449470799339","-122.92449470799339","502","502","502","-1354.6649609674091","-1354.6649609674091","-1354.6649609674091","502","502","502","-509.0221886752018","-509.0221886752018","-509.0221886752018","502","502","502","-386.0375212398415","-386.0375212398415","-386.0375212398415"
"5000","523","523","523","-359.75844738654325","-359.75844738654325","-359.75844738654325","523","523","523","-125.93517207503868","-125.93517207503868","-125.93517207503868","523","523","523","-1550.538809959571","-1550.538809959571","-1550.538809959571","523","523","523","-502.7849043498635","-502.7849043498635","-502.7849043498635","523","523","523","-270.12965109474857","-270.12965109474857","-270.12965109474857"
"5200","544","544","544","-247.85563302128045","-247.85563302128045","-247.85563302128045","544","544","544","-125.8548069088278","-125.8548069088278","-125.8548069088278","544","544","544","-1439.3307810901317","-1439.3307810901317","-1439.3307810901317","544","544","544","-644.6707314616855","-644.6707314616855","-644.6707314616855","544","544","544","-893.5062209179943","-893.5062209179943","-893.5062209179943"
"5400","565","565","565","-1114.1367797482415","-1114.1367797482415","-1114.1367797482415","565","565","565","-4.967306665019459","-4.967306665019459","-4.967306665019459","565","565","565","-386.20725516473595","-386.20725516473595","-386.20725516473595","565","565","565","-506.4469835897136","-506.4469835897136","-506.4469835897136","565","565","565","-945.0426522674126","-945.0426522674126","-945.0426522674126"
"5600","586","586","586","-119.38536640474437","-119.38536640474437","-119.38536640474437","586","586","586","-127.33501412175207","-127.33501412175207","-127.33501412175207","586","586","586","-1239.6174160036887","-1239.6174160036887","-1239.6174160036887","586","586","586","-386.4465144857885","-386.4465144857885","-386.4465144857885","586","586","586","-1061.8307320741178","-1061.8307320741178","-1061.8307320741178"
"5800","607","607","607","-250.3805992728572","-250.3805992728572","-250.3805992728572","607","607","607","-347.39946923487685","-347.39946923487685","-347.39946923487685","607","607","607","-1308.521583171274","-1308.521583171274","-1308.521583171274","607","607","607","-380.8836035767276","-380.8836035767276","-380.8836035767276","607","607","607","-1004.8995521337041","-1004.8995521337041","-1004.8995521337041"
"6000","628","628","628","-130.2903872948908","-130.2903872948908","-130.2903872948908","628","628","628","-0.18860746312551074","-0.18860746312551074","-0.18860746312551074","628","628","628","-1346.7205374613748","-1346.7205374613748","-1346.7205374613748","628","628","628","-396.6319692885276","-396.6319692885276","-396.6319692885276","628","628","628","-1038.2787139714303","-1038.2787139714303","-1038.2787139714303"
"6200","649","649","649","-128.63468541572294","-128.63468541572294","-128.63468541572294","649","649","649","-361.19577406072153","-361.19577406072153","-361.19577406072153","649","649","649","-905.5976628922054","-905.5976628922054","-905.5976628922054","649","649","649","-369.3494943322997","-369.3494943322997","-369.3494943322997","649","649","649","-253.91382026561325","-253.91382026561325","-253.91382026561325"
"6400","670","670","670","-250.09433505832445","-250.09433505832445","-250.09433505832445","670","670","670","-350.003855567405","-350.003855567405","-350.003855567405","670","670","670","-523.3818317427246","-523.3818317427246","-523.3818317427246","670","670","670","-244.93882697114776","-244.93882697114776","-244.93882697114776","670","670","670","-249.12061136919235","-249.12061136919235","-249.12061136919235"
"6600","691","691","691","-250.06887382303856","-250.06887382303856","-250.06887382303856","691","691","691","-126.57126532941189","-126.57126532941189","-126.57126532941189","691","691","691","-748.6182729018385","-748.6182729018385","-748.6182729018385","691","691","691","-383.9843059602655","-383.9843059602655","-383.9843059602655","691","691","691","-2.7229412224709963","-2.7229412224709963","-2.7229412224709963"
"6800","712","712","712","-129.34589551656464","-129.34589551656464","-129.34589551656464","712","712","712","-125.99480734375445","-125.99480734375445","-125.99480734375445","712","712","712","-750.775914758172","-750.775914758172","-750.775914758172","712","712","712","-120.70418787817871","-120.70418787817871","-120.70418787817871","712","712","712","-1.9643417137374939","-1.9643417137374939","-1.9643417137374939"
"7000","733","733","733","-354.47635728326793","-354.47635728326793","-354.47635728326793","733","733","733","-126.6714339438822","-126.6714339438822","-126.6714339438822","733","733","733","-633.1127279497362","-633.1127279497362","-633.1127279497362","733","733","733","-126.6990347803001","-126.6990347803001","-126.6990347803001","733","733","733","-128.73421785657007","-128.73421785657007","-128.73421785657007"
"7200","754","754","754","-380.2600838144782","-380.2600838144782","-380.2600838144782","754","754","754","-125.75400761574502","-125.75400761574502","-125.75400761574502","754","754","754","-858.1047183798379","-858.1047183798379","-858.1047183798379","754","754","754","-3.9580785488707666","-3.9580785488707666","-3.9580785488707666","754","754","754","-249.4399205313189","-249.4399205313189","-249.4399205313189"
"7400","775","775","775","-249.43253761102696","-249.43253761102696","-249.43253761102696","775","775","775","-2.1792415204193345","-2.1792415204193345","-2.1792415204193345","775","775","775","-849.3063777105664","-849.3063777105664","-849.3063777105664","775","775","775","-307.82897915414026","-307.82897915414026","-307.82897915414026","775","775","775","-128.33992517149417","-128.33992517149417","-128.33992517149417"
"7600","796","796","796","-240.3964746421147","-240.3964746421147","-240.3964746421147","796","796","796","-240.24865647689404","-240.24865647689404","-240.24865647689404","796","796","796","-747.8031610771748","-747.8031610771748","-747.8031610771748","796","796","796","-2.8618929194457023","-2.8618929194457023","-2.8618929194457023","796","796","796","-339.55712728843986","-339.55712728843986","-339.55712728843986"
"7800","817","817","817","-233.84080819200278","-233.84080819200278","-233.84080819200278","817","817","817","-245.89742035471554","-245.89742035471554","-245.89742035471554","817","817","817","-744.5202148478216","-744.5202148478216","-744.5202148478216","817","817","817","-129.65041404128945","-129.65041404128945","-129.65041404128945","817","817","817","-128.1849419429576","-128.1849419429576","-128.1849419429576"
"8000","838","838","838","-125.89881122013531","-125.89881122013531","-125.89881122013531","838","838","838","-128.81931017206657","-128.81931017206657","-128.81931017206657","838","838","838","-819.0845882750875","-819.0845882750875","-819.0845882750875","838","838","838","-126.38078329547554","-126.38078329547554","-126.38078329547554","838","838","838","-347.24580953300847","-347.24580953300847","-347.24580953300847"
"8200","859","859","859","-119.46383860309312","-119.46383860309312","-119.46383860309312","859","859","859","-122.95079401651604","-122.95079401651604","-122.95079401651604","859","859","859","-489.00201974750684","-489.00201974750684","-489.00201974750684","859","859","859","-234.30613948359488","-234.30613948359488","-234.30613948359488","859","859","859","-247.756567002928","-247.756567002928","-247.756567002928"
"8400","880","880","880","-229.43984772604202","-229.43984772604202","-229.43984772604202","880","880","880","-245.6399876892405","-245.6399876892405","-245.6399876892405","880","880","880","-490.66864634111795","-490.66864634111795","-490.66864634111795","880","880","880","-247.6430719818784","-247.6430719818784","-247.6430719818784","880","880","880","-117.95025428123424","-117.95025428123424","-117.95025428123424"
"8600","901","901","901","-127.013223838142","-127.013223838142","-127.013223838142","901","901","901","-260.7835824114075","-260.7835824114075","-260.7835824114075","901","901","901","-636.2205251112645","-636.2205251112645","-636.2205251112645","901","901","901","-235.5205328740103","-235.5205328740103","-235.5205328740103","901","901","901","-130.46053824917416","-130.46053824917416","-130.46053824917416"
"8800","922","922","922","-128.60034527013022","-128.60034527013022","-128.60034527013022","922","922","922","-125.95289660259138","-125.95289660259138","-125.95289660259138","922","922","922","-259.2451240066241","-259.2451240066241","-259.2451240066241","922","922","922","-356.03406004994497","-356.03406004994497","-356.03406004994497","922","922","922","-240.85398138513386","-240.85398138513386","-240.85398138513386"
"9000","943","943","943","-1.910775721780976","-1.910775721780976","-1.910775721780976","943","943","943","-297.7280960261324","-297.7280960261324","-297.7280960261324","943","943","943","-259.27987902899304","-259.27987902899304","-259.27987902899304","943","943","943","-4.176797480009274","-4.176797480009274","-4.176797480009274","943","943","943","-0.47674301614750303","-0.47674301614750303","-0.47674301614750303"
"9200","964","964","964","-119.8212728504567","-119.8212728504567","-119.8212728504567","964","964","964","-0.6366513592748582","-0.6366513592748582","-0.6366513592748582","964","964","964","-375.7076662240305","-375.7076662240305","-375.7076662240305","964","964","964","-120.4007782710693","-120.4007782710693","-120.4007782710693","964","964","964","-122.50876527086542","-122.50876527086542","-122.50876527086542"
"9400","985","985","985","-120.65679588163162","-120.65679588163162","-120.65679588163162","985","985","985","-117.63904741829617","-117.63904741829617","-117.63904741829617","985","985","985","-125.86299733608185","-125.86299733608185","-125.86299733608185","985","985","985","-121.42525243279925","-121.42525243279925","-121.42525243279925","985","985","985","-268.4753573175467","-268.4753573175467","-268.4753573175467"
"9600","1006","1006","1006","-232.13815041328112","-232.13815041328112","-232.13815041328112","1006","1006","1006","-127.2048113095955","-127.2048113095955","-127.2048113095955","1006","1006","1006","-129.4716078421141","-129.4716078421141","-129.4716078421141","1006","1006","1006","-126.87217671006876","-126.87217671006876","-126.87217671006876","1006","1006","1006","-117.13966943327806","-117.13966943327806","-117.13966943327806"
"9800","1027","1027","1027","-132.29785727731561","-132.29785727731561","-132.29785727731561","1027","1027","1027","-1.4969957771023024","-1.4969957771023024","-1.4969957771023024","1027","1027","1027","-237.55118109283697","-237.55118109283697","-237.55118109283697","1027","1027","1027","-125.993205139034","-125.993205139034","-125.993205139034","1027","1027","1027","-125.94310017932392","-125.94310017932392","-125.94310017932392"
"10000","1048","1048","1048","-2.072892222124268","-2.072892222124268","-2.072892222124268","1048","1048","1048","-237.98336826526094","-237.98336826526094","-237.98336826526094","1048","1048","1048","-352.0905801052611","-352.0905801052611","-352.0905801052611","1048","1048","1048","-129.97289844735633","-129.97289844735633","-129.97289844735633","1048","1048","1048","-130.26067057049272","-130.26067057049272","-130.26067057049272"
"10200","1069","1069","1069","-129.69847069333406","-129.69847069333406","-129.69847069333406","1069","1069","1069","-0.9625363878855242","-0.9625363878855242","-0.9625363878855242","1069","1069","1069","-123.00844475759466","-123.00844475759466","-123.00844475759466","1069","1069","1069","-3.5117085284607032","-3.5117085284607032","-3.5117085284607032","1069","1069","1069","-370.0589578407276","-370.0589578407276","-370.0589578407276"
"10400","1090","1090","1090","-118.48360825209295","-118.48360825209295","-118.48360825209295","1090","1090","1090","-118.64444340108852","-118.64444340108852","-118.64444340108852","1090","1090","1090","-250.10907846061465","-250.10907846061465","-250.10907846061465","1090","1090","1090","-264.9089020440683","-264.9089020440683","-264.9089020440683","1090","1090","1090","-126.81018522012765","-126.81018522012765","-126.81018522012765"
"10600","1111","1111","1111","-344.77366368698836","-344.77366368698836","-344.77366368698836","1111","1111","1111","-392.57933571773964","-392.57933571773964","-392.57933571773964","1111","1111","1111","-251.40602688371735","-251.40602688371735","-251.40602688371735","1111","1111","1111","-127.39364741156162","-127.39364741156162","-127.39364741156162","1111","1111","1111","-226.90957805776077","-226.90957805776077","-226.90957805776077"
"10800","1132","1132","1132","-2.375712069817016","-2.375712069817016","-2.375712069817016","1132","1132","1132","-120.14521575176147","-120.14521575176147","-120.14521575176147","1132","1132","1132","-128.28404229127355","-128.28404229127355","-128.28404229127355","1132","1132","1132","-118.4066740206121","-118.4066740206121","-118.4066740206121","1132","1132","1132","-125.35946705347183","-125.35946705347183","-125.35946705347183"
"11000","1153","1153","1153","-224.87357108588327","-224.87357108588327","-224.87357108588327","1153","1153","1153","-242.87119132125926","-242.87119132125926","-242.87119132125926","1153","1153","1153","-229.94883027501928","-229.94883027501928","-229.94883027501928","1153","1153","1153","-128.11607516791395","-128.11607516791395","-128.11607516791395","1153","1153","1153","-2.0071933350933393","-2.0071933350933393","-2.0071933350933393"
"11200","1174","1174","1174","-284.5650456529909","-284.5650456529909","-284.5650456529909","1174","1174","1174","-227.7770860303015","-227.7770860303015","-227.7770860303015","1174","1174","1174","-239.73248160159173","-239.73248160159173","-239.73248160159173","1174","1174","1174","-248.27033913997198","-248.27033913997198","-248.27033913997198","1174","1174","1174","-0.48537448648554776","-0.48537448648554776","-0.48537448648554776"
"11400","1195","1195","1195","-243.726679877809","-243.726679877809","-243.726679877809","1195","1195","1195","-116.6979840303498","-116.6979840303498","-116.6979840303498","1195","1195","1195","-226.02177577724834","-226.02177577724834","-226.02177577724834","1195","1195","1195","-123.77231424716452","-123.77231424716452","-123.77231424716452","1195","1195","1195","-114.8172764317951","-114.8172764317951","-114.8172764317951"
"11600","1216","1216","1216","-115.54720450199774","-115.54720450199774","-115.54720450199774","1216","1216","1216","-127.17100727960566","-127.17100727960566","-127.17100727960566","1216","1216","1216","-124.93129513969426","-124.93129513969426","-124.93129513969426","1216","1216","1216","-116.55039321523334","-116.55039321523334","-116.55039321523334","1216","1216","1216","-254.3129049669066","-254.3129049669066","-254.3129049669066"
"11800","1237","1237","1237","-0.7432567746701539","-0.7432567746701539","-0.7432567746701539","1237","1237","1237","-242.49935444880012","-242.49935444880012","-242.49935444880012","1237","1237","1237","-124.22223591751604","-124.22223591751604","-124.22223591751604","1237","1237","1237","-247.61024512736688","-247.61024512736688","-247.61024512736688","1237","1237","1237","-125.05361266327499","-125.05361266327499","-125.05361266327499"
"12000","1258","1258","1258","-242.28598950557222","-242.28598950557222","-242.28598950557222","1258","1258","1258","-4.428038343092983","-4.428038343092983","-4.428038343092983","1258","1258","1258","-125.14515847989698","-125.14515847989698","-125.14515847989698","1258","1258","1258","-118.62349960854898","-118.62349960854898","-118.62349960854898","1258","1258","1258","-121.57709036848472","-121.57709036848472","-121.57709036848472"
"12200","1279","1279","1279","-342.0898240093149","-342.0898240093149","-342.0898240093149","1279","1279","1279","-119.0227841283319","-119.0227841283319","-119.0227841283319","1279","1279","1279","-125.20990135907162","-125.20990135907162","-125.20990135907162","1279","1279","1279","-237.47840803085865","-237.47840803085865","-237.47840803085865","1279","1279","1279","-252.1893659486644","-252.1893659486644","-252.1893659486644"
"12400","1300","1300","1300","-238.98738317794042","-238.98738317794042","-238.98738317794042","1300","1300","1300","-226.2073888401541","-226.2073888401541","-226.2073888401541","1300","1300","1300","-125.36952227238008","-125.36952227238008","-125.36952227238008","1300","1300","1300","-340.8197052349655","-340.8197052349655","-340.8197052349655","1300","1300","1300","-243.1371627083799","-243.1371627083799","-243.1371627083799"
"12600","1321","1321","1321","-241.34598895804902","-241.34598895804902","-241.34598895804902","1321","1321","1321","-376.48239604268093","-376.48239604268093","-376.48239604268093","1321","1321","1321","-338.7254233033102","-338.7254233033102","-338.7254233033102","1321","1321","1321","-356.6590207280609","-356.6590207280609","-356.6590207280609","1321","1321","1321","-124.81315823196576","-124.81315823196576","-124.81315823196576"
"12800","1342","1342","1342","-119.6899562966252","-119.6899562966252","-119.6899562966252","1342","1342","1342","-1.422236621499347","-1.422236621499347","-1.422236621499347","1342","1342","1342","-340.3600880323856","-340.3600880323856","-340.3600880323856","1342","1342","1342","-115.42111014597043","-115.42111014597043","-115.42111014597043","1342","1342","1342","-0.32116019650915967","-0.32116019650915967","-0.32116019650915967"
"13000","1363","1363","1363","-117.54884313335504","-117.54884313335504","-117.54884313335504","1363","1363","1363","-244.3060032796812","-244.3060032796812","-244.3060032796812","1363","1363","1363","-128.88163662641816","-128.88163662641816","-128.88163662641816","1363","1363","1363","-115.88697681894202","-115.88697681894202","-115.88697681894202","1363","1363","1363","-238.93849461381564","-238.93849461381564","-238.93849461381564"
"13200","1384","1384","1384","-0.6784309690951537","-0.6784309690951537","-0.6784309690951537","1384","1384","1384","-124.89235885770866","-124.89235885770866","-124.89235885770866","1384","1384","1384","-382.56923098094467","-382.56923098094467","-382.56923098094467","1384","1384","1384","-119.68143529930578","-119.68143529930578","-119.68143529930578","1384","1384","1384","-237.59622127195263","-237.59622127195263","-237.59622127195263"
"13400","1405","1405","1405","-128.00040305290108","-128.00040305290108","-128.00040305290108","1405","1405","1405","-391.30493151935025","-391.30493151935025","-391.30493151935025","1405","1405","1405","-120.18190816070525","-120.18190816070525","-120.18190816070525","1405","1405","1405","-124.01121348610941","-124.01121348610941","-124.01121348610941","1405","1405","1405","-356.5328499060243","-356.5328499060243","-356.5328499060243"
"13600","1426","1426","1426","-120.18158446704273","-120.18158446704273","-120.18158446704273","1426","1426","1426","-117.42635992416692","-117.42635992416692","-117.42635992416692","1426","1426","1426","-238.86564528899964","-238.86564528899964","-238.86564528899964","1426","1426","1426","-117.7146141332446","-117.7146141332446","-117.7146141332446","1426","1426","1426","-232.1566013707437","-232.1566013707437","-232.1566013707437"
"13800","1447","1447","1447","-230.9292648863978","-230.9292648863978","-230.9292648863978","1447","1447","1447","-243.71050024346127","-243.71050024346127","-243.71050024346127","1447","1447","1447","-243.88207788809774","-243.88207788809774","-243.88207788809774","1447","1447","1447","-124.0256952942784","-124.0256952942784","-124.0256952942784","1447","1447","1447","-241.3388801731372","-241.3388801731372","-241.3388801731372"
"14000","1468","1468","1468","-121.64839360221637","-121.64839360221637","-121.64839360221637","1468","1468","1468","-121.05221445828438","-121.05221445828438","-121.05221445828438","1468","1468","1468","-127.41051047341826","-127.41051047341826","-127.41051047341826","1468","1468","1468","-114.07732643611484","-114.07732643611484","-114.07732643611484","1468","1468","1468","-350.1586482542983","-350.1586482542983","-350.1586482542983"
"14200","1489","1489","1489","-234.45064331268355","-234.45064331268355","-234.45064331268355","1489","1489","1489","-330.8181485011922","-330.8181485011922","-330.8181485011922","1489","1489","1489","-126.81326479897486","-126.81326479897486","-126.81326479897486","1489","1489","1489","-0.45924204496390564","-0.45924204496390564","-0.45924204496390564","1489","1489","1489","-120.13489108924101","-120.13489108924101","-120.13489108924101"
"14400","1510","1510","1510","-125.0581501328536","-125.0581501328536","-125.0581501328536","1510","1510","1510","-129.91451103818451","-129.91451103818451","-129.91451103818451","1510","1510","1510","-225.50859173850338","-225.50859173850338","-225.50859173850338","1510","1510","1510","-124.43829597558697","-124.43829597558697","-124.43829597558697","1510","1510","1510","-245.55609647954935","-245.55609647954935","-245.55609647954935"
